Latitude,Longitude,Substation Name,Substation Type,Substation Voltage
36.427222602131316,-114.90689763749455,Harry Allen Substation,Transmission,500000
36.38209383297059,-114.92176154654992,Chuck Lenzie Substation,Transmission,500000
37.4134002418149,-113.64612923456323,Red Butte Substation,Transmission,345000
39.45563085048802,-119.71738881622406,Mira Loma Substation,Transmission,345000
39.8240109200389,-111.90415711084643,Mona Substation,Transmission,345000
40.48031055150462,-107.59371694437543,Bears Ears Substation,Transmission,345000
38.844726545407745,-111.99289398766349,Sigurd Substation,Transmission,345000
40.7072685031356,-111.9289302944728,Mid-Valley Substation,Transmission,345000
39.78880950395023,-111.89482107852348,Clover Substation,Transmission,345000
40.564675715374754,-112.02722370546074,Oquirrh Substation,Transmission,138000
40.757333088545195,-112.00662112078251,Terminal substation,Transmission,345000
41.09515547623697,-112.04331782287287,Syracuse Substation,Transmission,345000
34.42335271747258,-92.14432178825562,White Bluff Substation,Transmission,500000
34.5939427090047,-92.21669088715534,Wrightsville Substation,Transmission,500000
34.937035390610326,-92.43852762066247,Mayflower Substation,Transmission,500000
35.11749483173282,-90.18778311054469,West Memphis Substation,Transmission,500000
35.65268837421729,-89.96707795574947,Sans Souci Substation,Transmission,500000
33.2969488242617,-92.58941903514894,Union Power Project Switchyard,Transmission,500000
33.2885503874218,-92.5918435469156,El Dorado Substation,Transmission,500000
32.70412168438795,-92.07466032605613,Sterlington Substation,Transmission,500000
32.57693027592657,-92.68769626190722,Mount Olive Substation,Transmission,500000
33.3367137591562,-93.22458799923886,McNeil Substation,Transmission,500000
29.985826554383316,-90.47858366706313,Waterford 500kV Substation,Transmission,500000
30.782771551112493,-89.90630487673901,Bogalusa Substation,Transmission,500000
31.524619309921764,-90.64406162353075,Franklin Substation,Transmission,500000
30.278626877711485,-91.11257017989695,Willow Glen Substation (500kV),Transmission,500000
30.48761705604873,-90.89637578352132,Coly Substation,Transmission,500000
30.256728109287824,-91.16815165314777,Bayou LaButte Substation,Transmission,500000
30.745225460674625,-91.33106924914138,Fancy Point Substation,Transmission,500000
30.448825741436433,-92.13664029907355,Wells Substation,Transmission,500000
32.28139506037508,-90.92886862670457,Baxter Wilson Substation,Transmission,500000
30.4299309122718,-92.40666511795219,Richard Substation,Transmission,500000
31.98017262625198,-93.18764885050432,Layfield Substation,Transmission,500000
30.26624466007089,-93.7385964205838,Hartburg Substation,Transmission,500000
32.03505109604424,-93.5692392024145,Dolet Hills Substation,Transmission,345000
32.404718673135754,-93.86456831195164,Southwest Shreveport Substation,Transmission,345000
32.381564276164696,-90.21451327192285,Lakeover Substation,Transmission,500000
32.31090680990712,-90.32916980225193,Ray Braswell Substation,Transmission,500000
32.00526518304746,-91.04412403753216,Grand Gulf Substation,Transmission,500000
30.623854203493398,-95.90941633863466,Grimes Substation,Transmission,345000
30.303736703866402,-94.2572856451348,Cypress Substation,Transmission,500000
36.10819119357008,-94.43424993226753,Chambers Springs Substation,Transmission,345000
36.185312202651524,-94.28185722550785,Tontitown Substation,Transmission,345000
36.254119970284044,-94.52760648267663,Flint Creek Substation,Transmission,345000
36.3581873968234,-94.35451447762065,Shipe Road Substation,Transmission,345000
35.81538936502408,-95.54940486108764,Clarksville Substation,Transmission,345000
37.86421094310477,-99.75570974979306,Spearville Substation,Transmission,345000
38.932117789589235,-99.35992513040239,Post Rock Substation,Transmission,230000
38.93379849566781,-99.36255365025401,Post Rock Substation,Transmission,345000
40.54527842195589,-99.12146309494464,Axtell Substation,Transmission,345000
37.29382190741478,-98.46536951372546,Thistle Substation,Transmission,345000
36.31091859938324,-99.36872450654262,Woodward District Substation,Transmission,345000
37.467410804265036,-99.87683265020728,Clark County Substation,Transmission,345000
37.711710947679364,-97.66854094167384,Buffalo Flats Substation,Transmission,345000
38.727880415476406,-97.54087487794652,Summit Substation,Transmission,345000
38.11347241235986,-97.79069612520847,Reno County Substation,Transmission,345000
38.16187964854243,-97.52997013406014,Moundridge Substation,Transmission,138000
37.79262350460626,-97.51949903661186,Wichita 345kV Substation,Transmission,345000
37.33118717100557,-97.67665924921869,Viola Substation,Transmission,345000
38.70538351718274,-97.0404087065107,Union Ridge Substation,Transmission,230000
39.28252110230805,-96.11703088516741,Jeffrey Substation,Transmission,345000
37.589424058826744,-97.10522579822138,Rose Hill Substation,Transmission,345000
37.791059124909125,-97.16896517079068,Benton Substation,Transmission,345000
